influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		
0.000000000000000000e+00 9.244670336883113065e-05 1.297318613029633028e+00 2.225281937993240594e-15 3.064041910009220166e-13 6.052804630033670197e-01 0.000000000000000000e+00 1.138055904210270253e+00 3.680023752835856476e-02 6.527982706001938550e-08 3.462766880863214602e+00 8.884202517108525932e-01 0.000000000000000000e+00 6.433682504325595637e-03 4.240040300872301854e-02 1.744518050026313529e-06 2.272281526576251332e-14 2.401068606600551825e-01 0.000000000000000000e+00 9.690788247609498640e+00 5.730962273231764626e-07 1.825884553750447515e-07 6.637582888354685315e-08 9.444620548686659234e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.582404583730047571e-04 1.428100584582054244e+00 2.434164076452549851e-15 4.011060535635715626e-13 1.149617955980105188e+00 0.000000000000000000e+00 2.290126585698785966e-01 1.197577517181711536e-02 2.620834170848443081e-07 3.500377514812893942e+00 8.715459105240687121e-01 0.000000000000000000e+00 8.083702202010491569e-03 5.757306778096423633e-02 1.747598469085431594e-06 2.362386138310818474e-15 1.261028864707214037e-01 0.000000000000000000e+00 9.638450535173570088e+00 8.026671538544648368e-07 8.979369653766231491e-08 1.001054055747765291e-07 9.620519125595372145e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.336364215759571038e-05 1.466253010840716353e+00 4.725488176086559389e-15 6.497266454039967895e-13 1.970469725033357600e+00 0.000000000000000000e+00 1.958532820586997569e-01 1.181049057770040996e-02 3.119246822166131188e-08 2.921655539700029447e+00 8.220329222964651850e-01 0.000000000000000000e+00 1.005431277064848875e-02 4.690536750793170701e-02 1.998948633734835552e-06 1.093441899035707599e-15 3.712026957771868974e-02 0.000000000000000000e+00 9.324770265999218211e+00 3.618506380349424402e-06 2.743116331014710203e-07 1.073578027009085115e-07 9.478331320257082027e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.354833750652435121e-05 1.495350135431914085e+00 8.158523578915372301e-15 2.927818895152117492e-12 2.276272515943637220e+00 0.000000000000000000e+00 1.958960600405801777e+00 6.708810115854682565e-03 5.586921562996687236e-08 3.082537189172552594e+00 1.181768487287061520e+00 0.000000000000000000e+00 4.609211617346117840e-02 3.436787709056222939e-02 2.097451717815443099e-05 4.451999174240306551e-16 3.482827683119259499e-01 0.000000000000000000e+00 9.714789718895206150e+00 7.689264455731487205e-07 7.873296611868799372e-08 1.100176906523464742e-07 9.950502100301367392e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.107073955210032332e-04 1.522461208466231231e+00 8.385454860369887338e-16 6.737489741727357261e-13 1.629112523701265802e+00 0.000000000000000000e+00 9.886940757985807071e-02 3.074649475467019968e-03 5.965198849186016726e-08 2.636475219019281724e+00 1.011345577677927210e+00 0.000000000000000000e+00 3.073955414190187099e-02 2.720801600521674524e-02 1.350728637113695596e-05 6.062969623697849448e-15 7.446047106275890948e-02 0.000000000000000000e+00 8.591579886080261019e+00 4.006880485490819445e-07 6.566592871005127274e-08 6.749011664501172615e-08 9.465643504472090797e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.300159143392123445e-05 1.404099337640082990e+00 1.905405679689064480e-14 3.656987530088077144e-13 1.107639487200010597e+00 0.000000000000000000e+00 2.085271899790186456e+00 1.250671663148859034e-03 3.657343074875705210e-10 3.201293327236475417e+00 7.837640839776616186e-01 0.000000000000000000e+00 3.037578416507852319e-02 9.182808716675752367e-03 3.714208567100014475e-05 2.612495024241304603e-15 1.741330258973644851e-01 0.000000000000000000e+00 6.500833210418498709e+00 8.283685768494199074e-07 1.704648227987757011e-08 1.832175975427863655e-06 9.873138694615782640e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.006729504152701226e-05 1.212630601437268973e+00 2.164143583328177343e-14 5.665058693619573599e-13 1.195594984205787581e+00 0.000000000000000000e+00 7.456572966148704573e-01 1.868982111600534304e-02 4.982868603088626386e-10 2.981263502272703203e+00 1.127348865594802296e+00 0.000000000000000000e+00 5.693448739777255685e-02 1.788078184319479708e-02 5.513586798192618467e-06 1.688308594130391166e-15 2.740051606088291236e-01 0.000000000000000000e+00 9.048440083833092729e+00 2.394419587958202534e-06 1.219676509220627154e-09 2.106996916958538970e-05 9.651688767705733696e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.116974104928279118e-06 1.841341963845041230e+00 1.302142720033963891e-13 4.473451342787879750e-13 7.549927936446607646e-01 0.000000000000000000e+00 9.684531616377901608e-01 1.301653908773820444e-02 3.839489895608446339e-09 2.269770613642260848e+00 1.054335169942047568e+00 0.000000000000000000e+00 1.629348998298039367e-03 1.957565145232048956e-02 2.023669032027858509e-05 2.099133596070137146e-15 2.938200049302963635e-01 0.000000000000000000e+00 7.648754281370083064e+00 6.170086026067741817e-06 1.910266636041260191e-09 3.919876491031088622e-02 9.933790802800452013e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.107776497904668016e-05 1.534267957378739222e+00 5.343029152236155779e-13 3.618125517036809685e-13 4.854042326544703578e-01 0.000000000000000000e+00 4.006697211604635100e-01 7.992163851776130576e-03 1.364094620707818011e-08 2.465483443161975874e+00 7.378130385977728078e-01 0.000000000000000000e+00 2.631793605395453713e-03 8.793404246699054738e-02 4.723398303089011988e-06 3.971998118784452314e-15 2.239903173475266684e-01 0.000000000000000000e+00 8.494961320668943827e+00 1.278193932550547813e-06 6.695890003562508208e-10 4.754368635181930453e-02 9.223972307595554199e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.507942218153610313e-05 1.468806098641913138e+00 2.655376468098289641e-12 7.749844168398829728e-13 5.825930876564224814e-01 0.000000000000000000e+00 6.553310046673586076e-01 7.905106252143589973e-02 1.716905867454184932e-08 2.441291109507828239e+00 1.043457702424292810e+00 0.000000000000000000e+00 2.522854117303735891e-03 1.160196186450954126e-01 2.448283042062612702e-06 4.677867016844079284e-15 1.422167426271425950e-01 0.000000000000000000e+00 9.623245495442116493e+00 2.161872746500921339e-06 4.367258564443479181e-10 2.097586513336050992e-02 8.281274391882419650e+00 0.000000000000000000e+00
