word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	
9.998349479553620966e+00 9.866054052073414127e+00 9.996977686379326045e+00 7.776163866065689767e+00 6.722899023661200069e+00
9.981340841864811964e+00 9.994473832588566253e+00 9.972904400110584433e+00 7.279620822054372553e+00 5.419991989969308754e+00
9.965987356585680246e+00 9.974923853855814926e+00 9.986658753636122654e+00 7.662888890782340034e+00 9.760762918743461469e+00
9.984511929015265963e+00 9.962493089436925686e+00 9.978912958795113752e+00 4.926019011451625573e+00 8.207052621245349400e+00
9.993455573607848308e+00 9.793910387536818973e+00 9.960726501445240189e+00 6.094555549379199633e+00 8.979638098720798212e+00
9.995667845012333075e+00 9.822980630079593212e+00 9.876299539530441152e+00 5.377028076178358873e+00 9.144511497973775604e+00
9.965125001703823315e+00 9.916781895686927584e+00 9.987973221841857097e+00 8.335428184515757621e+00 8.544773824942900831e+00
9.994540646366623093e+00 9.881229127212781904e+00 9.995675613158645945e+00 9.853439335799940579e+00 8.265724239406811336e+00
9.951905205191829751e+00 9.799458675964935139e+00 9.998236562402118111e+00 8.654232870113681031e+00 7.893553264345930742e+00
9.996191665925547198e+00 9.927056294104829703e+00 9.983923425360824666e+00 6.744898889557351396e+00 8.191310850868248394e+00
9.988277715086208985e+00 9.981203548308787532e+00 9.992013087939492166e+00 9.399503471402933741e+00 9.606228877370574182e+00
9.992987745386876952e+00 9.907279780455647611e+00 9.947891052646729904e+00 9.087057008317941609e+00 7.907458608207131867e+00
9.973779666777152997e+00 9.835705898098906275e+00 9.926873339076891511e+00 8.497258146170469928e+00 8.121133684225704030e+00
9.935122178105496360e+00 9.877053057535880143e+00 9.914831983436085849e+00 8.615648300930349279e+00 7.951104293244005916e+00
9.989542628818432135e+00 9.765988567257398500e+00 9.973716247122791145e+00 9.700462225340992006e+00 9.650012687327699012e+00
9.989819921799456992e+00 9.868806302092616889e+00 9.980233406282346564e+00 9.735711762776983136e+00 8.195401011074578079e+00
9.987155032579586589e+00 9.833587151842978713e+00 9.884049965849122543e+00 9.031276110894980391e+00 9.594746267447197496e+00
9.958390963815357821e+00 9.402058851929872674e+00 9.993727624718070857e+00 7.085946961950472911e+00 9.725263678593231376e+00
9.993893989306826597e+00 9.750407735987055347e+00 9.883967113308212760e+00 9.018046029332705160e+00 9.185956881806605523e+00
9.998912939223020047e+00 9.812093101711806042e+00 9.902447343994193574e+00 9.631946652679893361e+00 7.599667740623968548e+00
9.992045050780324900e+00 9.935572679644199212e+00 9.986384901901844913e+00 9.988713403290045534e+00 7.432754372694006406e+00
9.986283508921488306e+00 9.895242311459371720e+00 9.980551384779738910e+00 6.925471670316479589e+00 6.679718135154359970e+00
9.983794125750582893e+00 9.949409960941430597e+00 9.980390129021301959e+00 6.935553732349814204e+00 8.337808144249851949e+00
9.966123597633725240e+00 9.940060737831270643e+00 9.972254972737641054e+00 7.184524060663239453e+00 8.929782502506048658e+00
9.962760745513874028e+00 9.955673512257483537e+00 9.995704887262126803e+00 9.998786133564227185e+00 6.396403240389200384e+00
9.997680564485309063e+00 9.972616533008414663e+00 9.994625373548252867e+00 9.152268968083211220e+00 8.110281150569397468e+00
9.976098844400970833e+00 9.953851262382839238e+00 9.983458387991120730e+00 9.493979705351438980e+00 6.104922640504016229e+00
9.981421621957922596e+00 9.976835440532553889e+00 9.974265531838559795e+00 8.720548265849075165e+00 9.306491374267320538e+00
9.989012846603325002e+00 9.993002779588177731e+00 9.994383584385937880e+00 8.987600863542299479e+00 9.020154946009697028e+00
9.994600137020027475e+00 9.966387012582991645e+00 9.994474088893209540e+00 9.155794669239480044e+00 7.622904320003849321e+00
9.981350714868852947e+00 9.937426117625490107e+00 9.994419755290582685e+00 8.521843615413432715e+00 8.245521303067178565e+00
9.993099771091735306e+00 9.925974599623566874e+00 9.996505717884925701e+00 9.568823103055912327e+00 8.291009011144232943e+00
9.992042838197626509e+00 9.898021739528953589e+00 9.993425218602107307e+00 9.556534599891659099e+00 8.435061620081299338e+00
9.985136515520213862e+00 9.793851910597766164e+00 9.997658696189724026e+00 8.375823805730412630e+00 9.108133183144534684e+00
9.985615581446930733e+00 9.803225147843331655e+00 9.996746531622763499e+00 7.602009517533916849e+00 9.048361831446378289e+00
9.942317510553861482e+00 9.943794564360850075e+00 9.918037713689521695e+00 8.489437106081878071e+00 4.797408398652358130e+00
9.977399912782399127e+00 9.984147000317635801e+00 9.995758519306139789e+00 9.301984977010061328e+00 8.509695644718398455e+00
9.964147523403218187e+00 9.986202588792513879e+00 9.972283716634519735e+00 7.272320732821142109e+00 8.791400544811086348e+00
9.971758705235648890e+00 9.973258328142870610e+00 9.953768415623430954e+00 9.848794038255729077e+00 5.788634424195954864e+00
9.996594918620964165e+00 9.975710798012165981e+00 9.979388550755359688e+00 8.757010653871363459e+00 9.267482684441384677e+00
9.936940860270089715e+00 9.767005888971443284e+00 9.996765380685406654e+00 9.284054514289666216e+00 9.307186157509113045e+00
9.999729464356788000e+00 9.814968971913327067e+00 9.977575636496055722e+00 9.120116572209710171e+00 9.048398666109783051e+00
9.962129277089429635e+00 9.963469509761553766e+00 9.977961504350735922e+00 9.913392372322906709e+00 8.144363719928147560e+00
9.966533807375919096e+00 9.873304322434607982e+00 9.946242402864591270e+00 8.464103333611149083e+00 9.095194681663977931e+00
