time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	
9.524525131618749185e+01 9.873421405926293914e+01 7.851503561166265399e+01 9.303468850181994299e+01 1.061159934212534921e+02
9.193036992245345118e+01 9.088162300448630049e+01 9.476307739141445552e+01 1.051355921615850946e+02 9.926081202113897461e+01
9.061752090851678076e+01 1.107904796233093236e+02 8.614480966599097655e+01 1.134120336084263272e+02 1.067632098278731689e+02
1.047010538457136875e+02 1.127057801224590037e+02 1.071873546331821956e+02 1.101580961083873120e+02 9.018450368533466133e+01
8.845228287977042214e+01 1.102224366559716060e+02 9.713698486159850631e+01 9.313322888146103651e+01 9.534825541907081004e+01
9.262948900135515373e+01 1.026973328845620017e+02 8.883154399997198425e+01 1.086522109254959219e+02 1.082488658925179550e+02
8.947367459955634672e+01 9.573705494555437667e+01 8.957839928069954283e+01 1.182432156858320553e+02 1.138030040289173144e+02
9.542630378668235380e+01 8.937303969523213709e+01 1.007401213581830319e+02 1.157235709981382428e+02 1.125641409728132487e+02
8.406509221056580827e+01 1.007788083651266362e+02 9.875060199754886980e+01 1.089309259383302617e+02 1.304572180438543683e+02
9.405867701669524195e+01 7.469189134217737092e+01 8.131782354420177228e+01 9.801158574932367173e+01 1.256517760272928115e+02
7.925779198206575415e+01 9.318225215819708751e+01 8.522772465143361842e+01 9.411083836568710126e+01 1.178155070368926829e+02
7.131850385681327964e+01 9.116676624061982182e+01 9.295096933937192318e+01 1.035293229823964651e+02 9.176236476049643898e+01
9.784790989434769415e+01 9.570333160132456385e+01 8.528776697755300518e+01 9.789273874574315926e+01 1.073565821491621648e+02
8.526101154612257460e+01 8.248499888399348379e+01 8.805734722256875102e+01 9.713664722681953378e+01 9.557870371060329262e+01
9.160833025175233502e+01 1.011791033851123700e+02 8.541248218342366272e+01 1.026004165474520420e+02 1.137562528727186191e+02
